slice fieldpos lbda x y rmsx_um rmsy_um
4.000000 0.500000 0.400000 13.120627 17.441528 2.372965 0.842400
4.000000 0.500000 0.500000 13.031193 15.462662 1.281445 0.892706
4.000000 0.500000 0.700000 12.956253 13.718336 0.698774 1.543072
4.000000 0.500000 1.000000 12.907395 12.531327 1.230358 2.074809
4.000000 0.500000 1.200000 12.884548 11.961052 1.623275 2.339194
4.000000 0.500000 1.400000 12.863161 11.417650 2.030635 2.593833
4.000000 0.500000 1.600000 12.841466 10.856432 2.473860 2.858356
4.000000 0.500000 1.700200 12.830238 10.561779 2.713769 2.997542
4.000000 1.000000 0.350000 12.929819 19.194726 3.503204 1.527994
4.000000 1.000000 0.400000 12.848002 17.430403 2.634956 0.839436
4.000000 1.000000 0.500000 12.760499 15.452381 1.500215 0.560247
4.000000 1.000000 0.700000 12.687178 13.708774 0.636351 1.187248
4.000000 1.000000 1.000000 12.639376 12.522239 0.961244 1.720714
4.000000 1.000000 1.200000 12.617024 11.952189 1.338686 1.984147
4.000000 1.000000 1.400000 12.596099 11.408997 1.741696 2.236863
4.000000 1.000000 1.600000 12.574874 10.847994 2.183802 2.498503
4.000000 1.000000 1.700200 12.563889 10.553453 2.423663 2.635858
5.000000 -1.000000 0.350000 12.784937 19.187321 2.194020 1.658588
5.000000 -1.000000 0.400000 12.703988 17.423368 1.389126 1.576832
5.000000 -1.000000 0.500000 12.617402 15.445739 0.729233 1.920687
5.000000 -1.000000 0.700000 12.544839 13.702467 1.418315 2.503309
5.000000 -1.000000 1.000000 12.497526 12.516159 2.233455 2.978625
5.000000 -1.000000 1.200000 12.475401 11.946218 2.662100 3.219962
5.000000 -1.000000 1.400000 12.454688 11.403132 3.086751 3.455191
5.000000 -1.000000 1.600000 12.433678 10.842237 3.539627 3.702078
5.000000 -1.000000 1.700200 12.422803 10.547754 3.782666 3.832897
5.000000 -0.500000 0.350000 12.511810 19.175728 2.535691 1.464706
5.000000 -0.500000 0.400000 12.432666 17.412540 1.696924 1.251142
5.000000 -0.500000 0.500000 12.348014 15.435742 0.778077 1.530907
5.000000 -0.500000 0.700000 12.277077 13.693177 1.100237 2.114651
5.000000 -0.500000 1.000000 12.230826 12.507336 1.881919 2.593614
5.000000 -0.500000 1.200000 12.209199 11.937616 2.305683 2.835654
5.000000 -0.500000 1.400000 12.188952 11.394737 2.727779 3.070772
5.000000 -0.500000 1.600000 12.168414 10.834055 3.179095 3.316744
5.000000 -0.500000 1.700200 12.157784 10.539681 3.421568 3.446772
5.000000 0.000000 0.350000 12.238628 19.164421 2.847252 1.374525
5.000000 0.000000 0.400000 12.161280 17.401977 1.986221 0.992613
5.000000 0.000000 0.500000 12.078553 15.425986 0.934518 1.155133
5.000000 0.000000 0.700000 12.009231 13.684109 0.828898 1.735946
5.000000 0.000000 1.000000 11.964035 12.498723 1.560803 2.218388
5.000000 0.000000 1.200000 11.942901 11.929217 1.979677 2.460874
5.000000 0.000000 1.400000 11.923116 11.386540 2.399781 2.695537
5.000000 0.000000 1.600000 11.903048 10.826063 2.850212 2.940171
5.000000 0.000000 1.700200 11.892661 10.531797 3.092459 3.069165
5.000000 0.500000 0.350000 11.965391 19.153401 3.127096 1.398628
5.000000 0.500000 0.400000 11.889831 17.391680 2.249829 0.849334
