lbda,transmission,R,A
4161.000000000036,0.08201848709869006,0.8394638661889969,0.07851764671231301
4162.000000000036,0.07905493024495126,0.8439491203545434,0.07699594940050535
4163.000000000037,0.07629557295149848,0.8481667154086652,0.07553771163983644
4164.000000000036,0.07372393588257414,0.8521373739196483,0.07413869019777758
4165.000000000037,0.0713251663996936,0.8558798535155737,0.07279498008473269
4166.000000000038,0.0690858590201691,0.8594111565496892,0.07150298443014154
4167.000000000037,0.06699389768730456,0.8627467152334564,0.07025938707923919
4168.000000000038,0.06503831705624473,0.8659005552380074,0.06906112770574792
4169.000000000038,0.06320918036390567,0.8688854404007477,0.06790537923534666
4170.000000000038,0.06149747177112731,0.8717130008481763,0.06678952738069631
4171.000000000038,0.059895001344277846,0.8743938465572928,0.06571115209842936
4172.000000000039,0.058394321086308654,0.8769376681232172,0.0646680107904743
4173.000000000039,0.05698865063788677,0.8793533262770883,0.06365802308502483
4174.000000000039,0.05567181145165645,0.8816489315026038,0.06267925704573973
4175.00000000004,0.05443816840052306,0.8838319149286505,0.0617299166708264
4176.00000000004,0.05328257791728826,0.8859090915265261,0.06080833055618566
4177.00000000004,0.0522003418809612,0.8878867165103927,0.05991294160864605
4178.00000000004,0.05118716656700304,0.889770535726738,0.05904229770625893
4179.000000000041,0.05023912606697781,0.8915658307202072,0.05819504321281496
4180.000000000041,0.04935262965939904,0.8932774590776048,0.05736991126299614
4181.000000000041,0.048524392679633065,0.8949098905773801,0.056565716742986806
4182.000000000042,0.04775141049404135,0.8964672396068702,0.0557813498990884
4183.000000000042,0.04703093523325089,0.8979532942530506,0.05501577051369863
4184.000000000042,0.0463604549826601,0.899371542423017,0.05426800259432292
4185.000000000042,0.04573767516588965,0.9007251953072904,0.05353712952681979
4186.000000000042,0.04516050188966075,0.9020172084611768,0.05282228964916253
4187.000000000043,0.04462702704721501,0.9032503007463148,0.05212267220647014
4188.000000000042,0.04413551500240561,0.9044269713454416,0.0514375136521528
4189.000000000043,0.04368439069856769,0.9055495150378037,0.050766094263628624
4190.000000000044,0.04327222905554729,0.9066200359001104,0.050107735044342176
4191.000000000044,0.042897745535282646,0.9076404595779629,0.04946179488675445
4192.000000000043,0.04255978777136077,0.9086125442550425,0.04882766797359689
4193.000000000044,0.04225732817130463,0.9095378904316053,0.048204781397090224
4194.000000000044,0.04198945741222183,0.9104179496098361,0.04759259297794194
