wavelength,narrow,wide
11620,0.519106456,0.504811109
11630,0.520546149,0.506118606
11640,0.517965924,0.503563511
11650,0.516121956,0.50166318
11660,0.516674704,0.502312983
11670,0.517564014,0.503193353
11680,0.517768553,0.50326032
11690,0.516860916,0.502197714
11700,0.518009041,0.50346014
11710,0.518909198,0.504457154
11720,0.520561631,0.506015299
11730,0.520833093,0.506165277
11740,0.521056262,0.506397529
11750,0.521521421,0.506813162
11760,0.521968016,0.507348822
11770,0.519504053,0.504926038
11780,0.520358907,0.505711082
11790,0.51892234,0.50413182
11800,0.517415423,0.502655502
11810,0.516092265,0.501369834
11820,0.516933976,0.502126619
11830,0.516732912,0.501955985
11840,0.518410086,0.503502815
11850,0.518027298,0.503137539
11860,0.519156513,0.504314095
11870,0.519227553,0.50443076
11880,0.519085254,0.504228338
11890,0.519388731,0.504518451
11900,0.518018888,0.503057135
11910,0.5184929,0.503454213
11920,0.517488485,0.50240689
11930,0.51814978,0.503084875
11940,0.518062776,0.502927273
11950,0.516886547,0.501703957
11960,0.518414471,0.503210241
11970,0.519124363,0.503899486
11980,0.518951403,0.503700912
11990,0.518138257,0.50292915
12000,0.519241603,0.504177218
12010,0.513450374,0.498346944
12020,0.512993818,0.497877962
12030,0.512852998,0.497670227
12040,0.511544678,0.496346944
12050,0.512182038,0.49685553
12060,0.511611399,0.496332333
12070,0.511095489,0.49585685
12080,0.512254916,0.496966631
12090,0.512853832,0.497683343
12100,0.513038871,0.497802799
12110,0.514413995,0.49901474
12120,0.513903159,0.498444956
12130,0.513796878,0.498379237
12140,0.515708908,0.500219254
12150,0.516792389,0.501148983
12160,0.517330621,0.501748412
12170,0.516818225,0.501243223
12180,0.51649817,0.500883222
12190,0.517248981,0.501582168
12200,0.515874545,0.500146619
12210,0.516313309,0.500705007
12220,0.516020995,0.500375328
12230,0.517232009,0.501607772
12240,0.516589617,0.501057881
12250,0.516750314,0.501062852
12260,0.517750991,0.502033691
12270,0.517557413,0.501673909
12280,0.518273243,0.502554584
12290,0.517912995,0.502173622
12300,0.518769609,0.502817943
12310,0.519716405,0.503829868
12320,0.519777784,0.503771281
12330,0.518724407,0.502649571
12340,0.51979948,0.503747983
12350,0.519085336,0.503176507
12360,0.518461162,0.502473196
12370,0.520058886,0.504146436
12380,0.519959922,0.504006658
12390,0.52036164,0.504320037
12400,0.519445667,0.503304496
12410,0.520029647,0.50402404
12420,0.519226922,0.503262031
12430,0.518525526,0.502451953
