,,snr,exptime,slewtime,calibtime,z,x1,c,t0,ra,dec,magabs,magobs,x0,template,fields,survey,mwebv
xmm-lss,3,20.0,656.5600000000001,235.96019766442618,150.0,0.38595,-0.225,0.12,61893.816,36.688133,-5.1236544,-18.825302,22.834812,1.1660568e-05,salt2,xmm-lss,lsst,
xmm-lss,68,20.0,1358.4,271.22082752749054,150.0,0.70075,-0.38,-0.124,61900.395,34.809097,-3.0837874,-19.79345,23.419052,6.8080676e-06,salt2,xmm-lss,lsst,
xmm-lss,74,20.0,1901.76,240.4991010390718,150.0,0.72535,0.095,0.022,61901.12,35.195053,-4.4390416,-19.237839,24.066088,3.7515433e-06,salt2,xmm-lss,lsst,
xmm-lss,120,20.0,882.96,250.6117474416903,150.0,0.41325,-0.5,0.287,61894.18,36.93092,-5.1143384,-18.36828,23.466558,6.5165987e-06,salt2,xmm-lss,lsst,
xmm-lss,121,20.0,1064.08,256.4817531922724,150.0,0.54145,1.25,0.222,61896.418,35.08802,-6.171954,-18.713854,23.820232,4.7049125e-06,salt2,xmm-lss,lsst,
xmm-lss,134,20.0,1426.32,237.4710853045301,150.0,0.64835,-2.015,-0.046,61898.945,35.295296,-4.9140096,-19.268822,23.738266,5.073856e-06,salt2,xmm-lss,lsst,
xmm-lss,147,20.0,792.4,244.68486424403835,150.0,0.57075,0.52,-0.103,61897.05,35.19724,-3.322645,-19.897572,22.774357,1.2328268e-05,salt2,xmm-lss,lsst,
xmm-lss,193,20.0,724.48,260.83465516818023,150.0,0.44785,-0.65,0.029,61894.7,35.327236,-5.6289163,-19.054356,22.987186,1.0133757e-05,salt2,xmm-lss,lsst,
xmm-lss,211,20.0,1426.32,257.80703956589196,150.0,0.62775,0.55,0.17,61898.41,35.045643,-3.4713316,-18.61579,24.30619,3.0072451e-06,salt2,xmm-lss,lsst,
xmm-lss,276,20.0,2128.16,281.3881528317777,150.0,0.71485,0.685,0.105,61900.81,37.324066,-5.7549925,-19.019169,24.246103,3.178361e-06,salt2,xmm-lss,lsst,
xmm-lss,363,20.0,1154.64,255.38461974312509,150.0,0.63015,0.24,0.022,61898.47,35.28967,-5.332725,-19.408192,23.52384,6.181715e-06,salt2,xmm-lss,lsst,
xmm-lss,366,20.0,724.48,225.5701748588849,150.0,0.44615,1.075,0.118,61894.67,35.815617,-4.799588,-18.942818,23.088919,9.227351e-06,salt2,xmm-lss,lsst,
xmm-lss,368,20.0,2445.12,212.43902256284858,150.0,0.77345,-1.155,-0.045,61902.633,35.831593,-4.6346917,-19.264591,24.2098,3.2864311e-06,salt2,xmm-lss,lsst,
xmm-lss,384,20.0,656.5600000000001,235.67803415753383,150.0,0.43045,-0.66,-0.025,61894.43,35.81998,-5.829941,-19.405258,22.53426,1.5379457e-05,salt2,xmm-lss,lsst,
xmm-lss,391,20.0,384.88,226.1762188782269,150.0,0.32725,0.88,-0.035,61893.16,36.329227,-6.4157557,-19.609583,21.632526,3.5288565e-05,salt2,xmm-lss,lsst,
xmm-lss,426,20.0,1811.2,259.4745530968549,150.0,0.64495,-0.09,0.147,61898.855,35.29964,-4.4131536,-18.82388,24.169342,3.411208e-06,salt2,xmm-lss,lsst,
xmm-lss,448,20.0,1358.4,236.19805143934553,150.0,0.42885,1.44,0.586,61894.406,36.474003,-4.750858,-17.668934,24.261013,3.135015e-06,salt2,xmm-lss,lsst,
xmm-lss,495,20.0,1064.08,225.12394865605506,150.0,0.58915,-0.795,-0.026,61897.473,36.50078,-5.4780583,-19.338114,23.417015,6.8208506e-06,salt2,xmm-lss,lsst,
xmm-lss,521,20.0,1901.76,234.80626433379425,150.0,0.72805,0.16,0.012,61901.207,36.507484,-4.321398,-19.381617,23.932161,4.2440483e-06,salt2,xmm-lss,lsst,
xmm-lss,548,20.0,135.84,243.02520766270698,150.0,0.10985,-0.615,0.326,61892.05,35.340805,-3.342671,-18.334755,20.270536,0.00012371728,salt2,xmm-lss,lsst,
xmm-lss,630,20.0,1267.8400000000001,246.49460937296968,150.0,0.55065,-1.755,0.087,61896.613,34.138172,-4.5108438,-18.8734,23.704708,5.2331297e-06,salt2,xmm-lss,lsst,
xmm-lss,705,20.0,724.48,269.1399222445327,150.0,0.55205,1.295,-0.072,61896.64,36.456646,-3.1617415,-19.590046,22.9947,1.0063876e-05,salt2,xmm-lss,lsst,
xmm-lss,721,20.0,701.84,244.24846019812585,150.0,0.44395,-1.175,-0.044,61894.637,34.88301,-3.272178,-19.117744,22.901255,1.0968396e-05,salt2,xmm-lss,lsst,
xmm-lss,736,20.0,747.12,234.59784669727543,150.0,0.43725,-0.315,0.134,61894.53,36.029064,-3.1863792,-18.805698,23.174139,8.530786e-06,salt2,xmm-lss,lsst,
xmm-lss,792,20.0,656.5600000000001,272.4328522414721,150.0,0.45645,0.725,0.032,61894.836,36.715904,-5.9259205,-19.207752,22.882864,1.1155766e-05,salt2,xmm-lss,lsst,
xmm-lss,835,20.0,1086.72,257.68462444539404,150.0,0.56055,-0.005,0.143,61896.824,34.55864,-5.6040993,-18.83315,23.791563,4.830809e-06,salt2,xmm-lss,lsst,
xmm-lss,864,20.0,1358.4,250.59113393375557,150.0,0.64065,0.625,0.073,61898.742,35.751217,-4.178228,-19.299648,23.675932,5.373682e-06,salt2,xmm-lss,lsst,
xmm-lss,1000,20.0,882.96,230.88788671457274,150.0,0.49175,-0.82,0.029,61895.45,36.728928,-4.053996,-19.029114,23.25432,7.923487e-06,salt2,xmm-lss,lsst,
xmm-lss,1002,20.0,1267.8400000000001,242.01698618472477,150.0,0.64275,0.315,0.018,61898.797,35.392944,-4.6900744,-19.342524,23.641687,5.545876e-06,salt2,xmm-lss,lsst,
xmm-lss,1017,20.0,1426.32,236.69766252041666,150.0,0.68165,1.19,0.094,61899.85,36.03075,-5.7556167,-18.993546,24.145832,3.4858751e-06,salt2,xmm-lss,lsst,
xmm-lss,1051,20.0,1901.76,215.2200378249938,150.0,0.65485,-1.24,0.062,61899.117,35.98948,-5.469671,-18.913073,24.12034,3.5686903e-06,salt2,xmm-lss,lsst,
xmm-lss,1062,20.0,1426.32,234.80110619625148,150.0,0.71795,0.645,-0.012,61900.902,36.49169,-4.427056,-19.484972,23.791769,4.8298916e-06,salt2,xmm-lss,lsst,
xmm-lss,1085,20.0,1901.76,255.25218615536477,150.0,0.64005,-1.01,0.111,61898.727,34.909626,-5.757881,-18.757627,24.215483,3.2692785e-06,salt2,xmm-lss,lsst,
xmm-lss,1098,20.0,724.48,263.4917031941214,150.0,0.50545,-0.33,-0.058,61895.7,36.66642,-4.0756264,-19.364271,22.99054,1.0102498e-05,salt2,xmm-lss,lsst,
xmm-lss,1111,20.0,1426.32,226.74518884273485,150.0,0.72845,0.965,-0.01,61901.22,36.72505,-4.873008,-19.462189,23.853046,4.5648494e-06,salt2,xmm-lss,lsst,
xmm-lss,1128,20.0,2445.12,267.11755368194656,150.0,0.71105,-1.45,0.1,61900.695,34.131702,-4.7285523,-18.75572,24.49543,2.5262314e-06,salt2,xmm-lss,lsst,
xmm-lss,1154,20.0,2445.12,243.0063127085947,150.0,0.79715,0.525,0.012,61903.414,35.636917,-4.975393,-19.366575,24.188087,3.3528156e-06,salt2,xmm-lss,lsst,
xmm-lss,1177,20.0,475.44,231.2558826046768,150.0,0.33365,-0.045,0.061,61893.223,34.725773,-5.39414,-19.180738,22.110163,2.2728967e-05,salt2,xmm-lss,lsst,
xmm-lss,1204,20.0,2445.12,232.64462295948516,150.0,0.76895,-0.68,-0.012,61902.484,35.346367,-6.2569013,-19.270014,24.18887,3.350404e-06,salt2,xmm-lss,lsst,
xmm-lss,1206,20.0,2445.12,274.64352649608935,150.0,0.77095,0.635,0.107,61902.55,35.843163,-3.3774023,-19.179125,24.286661,3.061823e-06,salt2,xmm-lss,lsst,
xmm-lss,1376,20.0,1064.08,235.21378798085755,150.0,0.59625,0.775,0.091,61897.637,36.528778,-4.3324265,-19.069994,23.716585,5.1761936e-06,salt2,xmm-lss,lsst,
xmm-lss,1459,20.0,39.620000000000005,227.54394693638147,150.0,0.05995,0.645,0.031,61892.008,36.525333,-5.1673307,-19.25214,17.964739,0.0010345449,salt2,xmm-lss,lsst,
xmm-lss,1470,20.0,362.24,260.03612003181763,150.0,0.30125,1.525,0.023,61892.926,34.415936,-4.298822,-19.474365,21.560045,3.772475e-05,salt2,xmm-lss,lsst,
xmm-lss,1512,20.0,543.36,230.57758811912095,150.0,0.39895,0.705,-0.009,61893.984,34.878056,-3.4461746,-19.448633,22.296062,1.9152256e-05,salt2,xmm-lss,lsst,
xmm-lss,1527,20.0,2309.28,244.4736197528104,150.0,0.71575,-1.24,0.011,61900.836,36.4627,-3.548631,-18.888409,24.380198,2.8090901e-06,salt2,xmm-lss,lsst,
xmm-lss,1538,20.0,1448.96,214.16561248866748,150.0,0.77745,0.5,-0.121,61902.766,36.683952,-3.648044,-19.733986,23.754118,5.000313e-06,salt2,xmm-lss,lsst,
xmm-lss,1539,20.0,1901.76,222.417423858008,150.0,0.66965,-2.515,-0.056,61899.516,36.557533,-4.242587,-18.943523,24.148909,3.4760144e-06,salt2,xmm-lss,lsst,
xmm-lss,1559,20.0,566.0,220.8066141880577,150.0,0.41935,-0.085,-0.048,61894.27,36.9741,-3.903356,-19.34222,22.5302,1.543708e-05,salt2,xmm-lss,lsst,
xmm-lss,1604,20.0,1901.76,253.12189151647055,150.0,0.75895,0.955,-0.01,61902.164,35.77576,-5.4677744,-19.349884,24.074219,3.7235525e-06,salt2,xmm-lss,lsst,
xmm-lss,1628,20.0,1064.08,237.1873023472853,150.0,0.64955,0.855,-0.048,61898.977,34.56623,-5.0902634,-19.589325,23.422642,6.785599e-06,salt2,xmm-lss,lsst,
xmm-lss,1632,20.0,384.88,270.3347958282791,150.0,0.29695,-1.71,-0.117,61892.89,37.058044,-3.9557533,-19.330793,21.667688,3.4164077e-05,salt2,xmm-lss,lsst,
xmm-lss,1640,20.0,1267.8400000000001,256.4483727338973,150.0,0.62805,0.395,0.05,61898.418,34.95922,-3.6557746,-19.240677,23.682562,5.3409685e-06,salt2,xmm-lss,lsst,
xmm-lss,1655,20.0,1064.08,252.97593537630277,150.0,0.54525,-0.98,0.039,61896.496,36.428032,-4.9608397,-19.04448,23.507874,6.273292e-06,salt2,xmm-lss,lsst,
